x,y,z,lj
1.373020618560865,-5.169967298822851,7.0121396977168935,5.0
8.381729963529367,9.145638856181378,-5.374699768875491,5.0
-8.51085723831096,-0.34788593624966424,-4.42293528809498,5.0
3.031086013403373,4.044118065026119,2.8568838752628523,5.0
3.354640657469645,-1.778619727098171,-0.45799871146707183,5.0
-1.4136040414595819,-4.397187749047551,6.985888288569917,5.0
9.052212297593726,7.727464632732172,-3.5567230566548087,5.0
-3.401131882738399,-9.58279864979618,2.805683197474787,5.0
6.799201337558991,6.036745574963817,-5.034410351989351,5.0
-7.855611600203223,1.658847657107863,-3.2620418008959824,5.0
2.9391434806896513,-1.17571063251955,-9.59015227883208,5.0
-8.974326275418159,-1.476493617931098,1.3099361984650297,5.0
6.168966766932577,-9.27045680317313,8.702171294447698,5.0
4.267567568774314,-0.7435408289394463,7.979511745661071,5.0
-0.2767557015129505,4.573643520195134,-6.980800681668096,5.0
6.029583341010131,3.1560539409490502,9.451827202487038,5.0
1.6491356752329231,-4.6201614220027825,7.469496713513884,5.0
-0.28494821224284195,-9.07171721690704,-9.913260301023115,5.0
7.37077097748141,2.2957854066362025,6.858371377199653,5.0
9.96009978000409,-4.821119066278417,2.1464133271052788,5.0
6.522590430868583,-0.717856256866904,2.8586233308673403,5.0
7.3439511014117045,7.227736171128392,-0.44283931694565837,5.0
-2.4046516914051885,-4.206656348081374,0.26394977159053745,5.0
4.866675734273704,-1.3146531870075577,8.751441537833667,5.0
6.2558092109105985,-9.307662119277333,9.126789199782323,5.0
-1.718236826602551,-0.6374420557855913,4.1200983667563165,5.0
-4.9053917728165075,8.411182258183945,1.3104110424707187,5.0
-3.4121787247959183,5.27738781606082,-8.637541362932566,5.0
-5.8693361012784395,-9.129666737529302,9.21694191142226,5.0
-0.5207357104500225,4.089650115792423,-5.386736539461636,5.0
6.561944963162535,-9.21948971849233,-9.50441036856246,5.0
-4.012560513661862,6.590608007344411,9.718188576677157,5.0
-0.019903522058505985,-4.105625534134991,5.549406378172696,5.0
0.8173820180572822,0.4298622109876149,-5.570558351540466,5.0
6.626183193623447,-2.044408400348667,-7.374158825498123,5.0
6.92140814162024,-4.476890351720604,-7.285000365487937,5.0
-3.71951169677639,-7.037681015071351,-8.65111668617693,5.0
-4.541566876373495,4.723928447065466,4.878676764569612,5.0
8.675475317250235,0.2628923528577882,-5.755615252187303,5.0
6.365938253990393,-6.0998071490945165,-6.943765736725194,5.0
5.763200860317211,5.183393920849504,9.509191452256701,5.0
-9.864194763415403,3.8646284974923777,-5.09035897500564,5.0
5.4459359264280405,1.9557951128537816,-8.843279068983541,5.0
6.200750347881801,-0.5619243961950353,1.1855717614617927,5.0
-7.985622059787181,0.31914457846816013,-4.605608624902857,5.0
-7.624893983774728,4.186412071276971,6.269846184388584,5.0
-1.3870582425090703,-9.005009817643847,4.320899760618875,5.0
-6.182286711706797,5.789391469460792,5.215224480590043,5.0
3.6917667276813297,6.774494658705876,3.921062894564347,5.0
-5.789822533757658,3.977656986556708,-8.523865169534004,5.0
